OID_,Civil_Count,Food_Count,HealthCare_Count,town,town_id,coast,taz,ES_FLAG,OBJECTID,Civil_Count1,Food_Count1,HealthCare_Count1,town_1,town_id_1,coast_1,taz_1,BUFF_DIST,shape_Length_1,shape_Area_1,ES_FLAG1,Shape_Length,Shape_Area,ES_FLAG_ALL,OBJECTID_12,taz_12,HLTH_COUNT,town_12,ES_COUNT05,HLTH_COUNT05,HIED_COUNT05,shape_Length_12,shape_Area_12,ES_COUNT1,HLTH_COUNT1,HIED_COUNT1,shape_Length_12_13,shape_Area_12_13,HIED_COUNT,ES_DEN_TAZ,ES_DEN_1,ES_DEN_05,ES_COUNT,OBJECTID_1,Join_Count,TARGET_FID,town_12_13,town_id_12,coast_12,objectid_12_13,taz_12_13,ORIG_FID,BUFF_DIST_1,COLLEGE,CAMPUS,ADDRESS,CITY,ZIPCODE,PLUS_FOUR,GEOG_TOWN,MAIN_TEL,URL,NCES_ID,TYPE,NCES_TYPE,CATEGORY,DEGREEOFFR,AWARDSOFFR,LARGEPROG,CAMPUSSETT,CAMPUSHOUS,L_SRC,CE_OBJECTID,FID,CE_College,Undergraduate_Enrollment,Graduate_Enrollment,Total_Enrollment,One,Lat,Lng,HIED_ID,shape_Length_12_13_14,shape_Area_12_13_14,HIED_Count5,Shape_Length_12_13_14_15,Shape_Area_12_13_14_15,HLTH_COUNT05m,HIED_COUNT05m,ES_COUNT05m,HLTH_COUNT1m,HIED_COUNT1m,ES_COUNT1m,ES_DEN_05m,ES_DEN_1m
11,0,2,0,ARLINGTON,10,N,907,0,11,3,8,2,ARLINGTON,10,N,907,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,4494.903305005504990,964106.589548527728766,1,907,907,,ARLINGTON,6,1,0,5055.913399325487262,2034180.041791053256020,13,1,0,10111.826798650974524,8136720.167164213024080,,10.745650484551369,4.138028520389279,7.639437268410976,4,11,8,11,ARLINGTON,10,N,10,907,11,8046.736093472188259,Bentley University, ,175 Forest Street,Waltham,02452,4705,WALTHAM,(781) 891-2000,http://www.bentley.edu,164739,PRI,"4-year, Private not-for-profit",Business School,"C, A, B, PBC, M, PMC, D",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship,Business,City: Small,Yes,nces.ed.gov,4,GISDATA.COLLEGES_PT.182,Bentley University,N/A,1086,1086,1,42.388808411109785,-71.220167633761832,39-Bentley University,50559.133993256335089,203418004.179117113351822,8,4494.903305005504990,964106.589548527728766,1,0,6,1,0,13,7.639437268410980,4.138028520389280
12,0,1,0,BEDFORD,23,N,1430,0,12,1,2,0,BEDFORD,23,N,1430,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,10464.925566405519930,5400260.386492297984660,1,1334,1430,,BEDFORD,0,0,0,5055.913399325487262,2034180.041791053256020,3,0,1,10111.826798650974524,8136720.167164213024080,,0.479604301445108,0.954929658551372,0.000000000000000,1,12,1,12,BEDFORD,23,N,23,1430,12,8046.736093472188259,National Aviation Academy New England Campus, ,150 Hanscom Drive,Bedford,01730, ,LINCOLN,(781) 274-8448,http://www.naa.edu,165635,PRI,"2-year, Private for-profit",Technical Institute,C,Two but less than 4 years certificate,Airframe Mechanics and Aircraft Maintenance Technology/Technician,Suburb: Large,No,nces.ed.gov,59,GISDATA.COLLEGES_PT.194,National Aviation Academy New England Campus,289,N/A,289,1,42.461502426617351,-71.289980304112163,46-National Aviation Academy New England Campus,50559.133993256335089,203418004.179117113351822,1,10464.925566405519930,5400260.386492297984660,0,0,1,0,1,3,0.479604301445108,0.954929658551372
13,0,0,0,BELLINGHAM,25,N,2394,0,13,0,0,0,BELLINGHAM,25,N,2394,1609.347218694437515,10111.826798650974524,8136720.167163999751210,0,13658.535123704630678,6415587.479968961328268,0,1874,2394,,BELLINGHAM,0,0,0,5055.913399325487262,2034180.041791053256020,0,0,0,10111.826798650974524,8136720.167164213024080,,0.000000000000000,0.000000000000000,0.000000000000000,0,13,0,13,BELLINGHAM,25,N,25,2394,13,8046.736093472188259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50559.133993256335089,203418004.179117113351822,0,13658.535123704630678,6415587.479968961328268,0,0,0,0,0,0,0.000000000000000,0.000000000000000
14,0,2,0,BOSTON,35,N,45,0,14,18,160,36,BOSTON,35,N,45,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,564.960662600496676,19488.653786341164960,1,45,45,1,BOSTON,100,3,3,5055.913399325487262,2034180.041791053256020,216,18,7,10111.826798650974524,8136720.167164213024080,,1594.766763479913379,68.754935415698782,127.323954473516267,12,14,44,14,BOSTON,35,N,35,45,14,8046.736093472188259,Harvard University (School of Public Health),School of Public Health,677 Huntington Ave,Boston,02115, ,BOSTON,(617) 432-1031,http://www.hsph.harvard.edu/,166027,PRI,"4-year, Private not-for-profit",Research University,"A, B, PBC, M, PMC, D",Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Midsize,Yes,IN-WEBSITE,36,GISDATA.COLLEGES_PT.118,Harvard University (School of Public Health),N/A,2169,2169,1,42.335311323962586,-71.102951174040868,5-Harvard University (School of Public Health),50559.133993256335089,203418004.179117113351822,44,564.960662600496676,19488.653786341164960,3,3,100,18,7,216,127.323954473515997,68.754935415698796
15,1,1,1,ASHLAND,14,N,1597,1,15,1,3,2,ASHLAND,14,N,1597,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,10764.160321511575603,3992298.963667276781052,1,1502,1597,,ASHLAND,1,0,0,5055.913399325487262,2034180.041791053256020,6,0,0,10111.826798650974524,8136720.167164213024080,,1.946238095284973,1.909859317102744,1.273239544735163,3,15,2,15,ASHLAND,14,N,14,1597,15,8046.736093472188259,Empire Beauty School (Framingham),Framingham,624 Worcester Road,Framingham,01701, ,FRAMINGHAM,(508) 370-7447,http://www.empire.edu,443678,PRI,"< 2-year, Private for-profit",Private Vocational School,C,One but less than two years certificate,"Cosmetology/Cosmetologist, General",City: Small,No,nces.ed.gov,27,GISDATA.COLLEGES_PT.98,Empire Beauty School (Framingham),6,N/A,6,1,42.297815277215214,-71.422158793704298,26-Empire Beauty School (Framingham),50559.133993256335089,203418004.179117113351822,2,10764.160321511575603,3992298.963667276781052,0,0,3,0,0,6,1.946238095284970,1.909859317102740
16,0,0,0,BOSTON,35,N,68,0,16,18,164,36,BOSTON,35,N,68,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,546.090750142177285,19289.823397199790634,1,68,68,,BOSTON,75,3,1,5055.913399325487262,2034180.041791053256020,220,18,6,10111.826798650974524,8136720.167164213024080,,268.534144346941105,70.028174960433944,95.492965855137200,2,16,42,16,BOSTON,35,N,35,68,16,8046.736093472188259,Harvard University (School of Public Health),School of Public Health,677 Huntington Ave,Boston,02115, ,BOSTON,(617) 432-1031,http://www.hsph.harvard.edu/,166027,PRI,"4-year, Private not-for-profit",Research University,"A, B, PBC, M, PMC, D",Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Midsize,Yes,IN-WEBSITE,36,GISDATA.COLLEGES_PT.118,Harvard University (School of Public Health),N/A,2169,2169,1,42.335311323962586,-71.102951174040868,5-Harvard University (School of Public Health),50559.133993256335089,203418004.179117113351822,42,546.090750142177285,19289.823397199790634,3,1,75,18,6,220,95.492965855137200,70.028174960433901
17,0,1,0,BOSTON,35,N,91,0,17,22,147,48,BOSTON,35,N,91,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,1018.694534486166503,44670.281607730139513,1,91,91,,BOSTON,48,3,5,5055.913399325487262,2034180.041791053256020,220,22,10,10111.826798650974524,8136720.167164213024080,,57.980116020516292,70.028174960433944,61.115498147287809,1,17,44,17,BOSTON,35,N,35,91,17,8046.736093472188259,Harvard University (School of Public Health),School of Public Health,677 Huntington Ave,Boston,02115, ,BOSTON,(617) 432-1031,http://www.hsph.harvard.edu/,166027,PRI,"4-year, Private not-for-profit",Research University,"A, B, PBC, M, PMC, D",Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Midsize,Yes,IN-WEBSITE,36,GISDATA.COLLEGES_PT.118,Harvard University (School of Public Health),N/A,2169,2169,1,42.335311323962586,-71.102951174040868,5-Harvard University (School of Public Health),50559.133993256335089,203418004.179117113351822,44,1018.694534486166503,44670.281607730139513,3,5,48,22,10,220,61.115498147287802,70.028174960433901
18,0,0,0,BELMONT,26,N,919,0,18,1,1,0,BELMONT,26,N,919,1609.347218694437515,10111.826798650974524,8136720.167163999751210,0,6836.507299747692741,2359267.595203894190490,0,919,919,,BELMONT,0,0,0,5055.913399325487262,2034180.041791053256020,2,0,0,10111.826798650974524,8136720.167164213024080,,1.097793279384867,0.636619772367581,0.000000000000000,1,18,15,18,BELMONT,26,N,26,919,18,8046.736093472188259,Bentley University, ,175 Forest Street,Waltham,02452,4705,WALTHAM,(781) 891-2000,http://www.bentley.edu,164739,PRI,"4-year, Private not-for-profit",Business School,"C, A, B, PBC, M, PMC, D",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship,Business,City: Small,Yes,nces.ed.gov,4,GISDATA.COLLEGES_PT.182,Bentley University,N/A,1086,1086,1,42.388808411109785,-71.220167633761832,39-Bentley University,50559.133993256335089,203418004.179117113351822,15,6836.507299747692741,2359267.595203894190490,0,0,1,0,0,2,1.097793279384870,0.636619772367581
19,0,1,0,FOXBOROUGH,99,N,2425,0,19,0,0,0,FOXBOROUGH,99,N,2425,1609.347218694437515,10111.826798650974524,8136720.167163999751210,0,17143.022544112245669,13841035.768180711194873,0,1885,2425,,FOXBOROUGH,0,0,0,5055.913399325487262,2034180.041791053256020,0,0,0,10111.826798650974524,8136720.167164213024080,,0.187123865125721,0.000000000000000,0.000000000000000,1,19,0,19,FOXBOROUGH,99,N,99,2425,19,8046.736093472188259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50559.133993256335089,203418004.179117113351822,0,17143.022544112245669,13841035.768180711194873,0,0,1,0,0,1,0.187123865125721,0.187123865125721
20,0,0,3,BOSTON,35,N,69,0,20,23,186,49,BOSTON,35,N,69,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,522.844914868393857,16635.951184002875380,1,69,69,2,BOSTON,104,10,5,5055.913399325487262,2034180.041791053256020,260,21,9,10111.826798650974524,8136720.167164213024080,1,1089.803436633727415,82.760570407785579,132.416912652456915,7,20,42,20,BOSTON,35,N,35,69,20,8046.736093472188259,Harvard University (School of Public Health),School of Public Health,677 Huntington Ave,Boston,02115, ,BOSTON,(617) 432-1031,http://www.hsph.harvard.edu/,166027,PRI,"4-year, Private not-for-profit",Research University,"A, B, PBC, M, PMC, D",Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Midsize,Yes,IN-WEBSITE,36,GISDATA.COLLEGES_PT.118,Harvard University (School of Public Health),N/A,2169,2169,1,42.335311323962586,-71.102951174040868,5-Harvard University (School of Public Health),50559.133993256335089,203418004.179117113351822,42,522.844914868393857,16635.951184002875380,10,5,104,21,9,260,132.416912652457000,82.760570407785593
21,1,1,0,BOSTON,35,N,70,0,21,22,192,47,BOSTON,35,N,70,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,718.467158744159178,21544.549641640245682,1,70,70,,BOSTON,105,12,5,5055.913399325487262,2034180.041791053256020,263,21,9,10111.826798650974524,8136720.167164213024080,,721.292805846225860,83.715500066336944,133.690152197192077,6,21,42,21,BOSTON,35,N,35,70,21,8046.736093472188259,Harvard University (School of Public Health),School of Public Health,677 Huntington Ave,Boston,02115, ,BOSTON,(617) 432-1031,http://www.hsph.harvard.edu/,166027,PRI,"4-year, Private not-for-profit",Research University,"A, B, PBC, M, PMC, D",Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Midsize,Yes,IN-WEBSITE,36,GISDATA.COLLEGES_PT.118,Harvard University (School of Public Health),N/A,2169,2169,1,42.335311323962586,-71.102951174040868,5-Harvard University (School of Public Health),50559.133993256335089,203418004.179117113351822,42,718.467158744159178,21544.549641640245682,12,5,105,21,9,263,133.690152197191992,83.715500066336901
22,0,0,0,FRAMINGHAM,100,N,1587,0,22,4,4,4,FRAMINGHAM,100,N,1587,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,8434.377748057357167,3230680.985525724012405,1,1492,1587,,FRAMINGHAM,0,0,0,5055.913399325487262,2034180.041791053256020,12,2,0,10111.826798650974524,8136720.167164213024080,,0.000000000000000,3.819718634205488,0.000000000000000,0,22,2,22,FRAMINGHAM,100,N,100,1587,22,8046.736093472188259,Empire Beauty School (Framingham),Framingham,624 Worcester Road,Framingham,01701, ,FRAMINGHAM,(508) 370-7447,http://www.empire.edu,443678,PRI,"< 2-year, Private for-profit",Private Vocational School,C,One but less than two years certificate,"Cosmetology/Cosmetologist, General",City: Small,No,nces.ed.gov,27,GISDATA.COLLEGES_PT.98,Empire Beauty School (Framingham),6,N/A,6,1,42.297815277215214,-71.422158793704298,26-Empire Beauty School (Framingham),50559.133993256335089,203418004.179117113351822,2,8434.377748057357167,3230680.985525724012405,0,0,0,2,0,12,0.000000000000000,3.819718634205490
23,0,0,0,CAMBRIDGE,49,N,658,0,23,11,58,10,CAMBRIDGE,49,N,658,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,1283.046576310494629,91857.500598226659349,1,658,658,,CAMBRIDGE,19,1,1,5055.913399325487262,2034180.041791053256020,79,6,3,10111.826798650974524,8136720.167164213024080,,0.000000000000000,25.146481008519466,24.191551349968091,0,23,48,23,CAMBRIDGE,49,N,49,658,23,8046.736093472188259,Boston College (Main Campus),Main Campus,140 Commonwealth Avenue,Chestnut Hill,02467, ,NEWTON,(617) 552-8000,http://www.bc.edu,164924,PRI,"4-year, Private not-for-profit",Research University,"C, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Small,Yes,nces.ed.gov,10,GISDATA.COLLEGES_PT.117,Boston College (Main Campus),N/A,13696,13696,1,42.335021249951438,-71.168754835547645,4-Boston College (Main Campus),50559.133993256335089,203418004.179117113351822,48,1283.046576310494629,91857.500598226659349,1,1,19,6,3,79,24.191551349968101,25.146481008519501
24,4,1,0,BOLTON,34,N,2226,1,24,0,0,0,BOLTON,34,N,2226,1609.347218694437515,10111.826798650974524,8136720.167163999751210,0,19009.638658287873113,17904306.455395981669426,1,1765,2226,,BOLTON,0,0,0,5055.913399325487262,2034180.041791053256020,0,0,0,10111.826798650974524,8136720.167164213024080,,1.012600896726346,0.000000000000000,0.000000000000000,7,24,0,24,BOLTON,34,N,34,2226,24,8046.736093472188259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50559.133993256335089,203418004.179117113351822,0,19009.638658287873113,17904306.455395981669426,0,0,7,0,0,7,1.012600896726350,1.012600896726350
